Price,Adj Close,Close,High,Low,Open,Volume
2016-02-10,21.350313186645508,23.5674991607666,24.087499618530273,23.524999618530273,23.979999542236328,169374400
2016-02-11,21.221220016479492,23.424999237060547,23.68000030517578,23.147499084472656,23.447500228881836,200298800
2016-02-12,21.28689956665039,23.497499465942383,23.625,23.252500534057617,23.547500610351562,161405600
2016-02-16,21.88707160949707,24.15999984741211,24.212499618530273,23.65250015258789,23.7549991607666,196231600
2016-02-17,22.222259521484375,24.530000686645508,24.552499771118164,24.037500381469727,24.167499542236328,179452800
2016-02-18,21.801008224487305,24.065000534057617,24.72249984741211,24.022499084472656,24.709999084472656,156084000
2016-02-19,21.751188278198242,24.010000228881836,24.190000534057617,23.950000762939453,24.0,141496800
2016-02-22,21.941423416137695,24.219999313354492,24.225000381469727,23.979999542236328,24.077499389648438,137123200
2016-02-23,21.44544219970703,23.672500610351562,24.125,23.637500762939453,24.100000381469727,127770400
2016-02-24,21.764768600463867,24.024999618530273,24.094999313354492,23.329999923706055,23.4950008392334,145022800
2016-02-25,21.914249420166016,24.190000534057617,24.190000534057617,23.8125,24.012500762939453,110330800
2016-02-26,21.94822120666504,24.227500915527344,24.5049991607666,24.145000457763672,24.299999237060547,115964400
2016-02-29,21.898395538330078,24.172500610351562,24.5575008392334,24.162500381469727,24.21500015258789,140865200
2016-03-01,22.76807975769043,25.13249969482422,25.1924991607666,24.354999542236328,24.412500381469727,201628400
2016-03-02,22.817903518676758,25.1875,25.22249984741211,24.90999984741211,25.127500534057617,132678400
2016-03-03,22.987768173217773,25.375,25.427499771118164,25.112499237060547,25.145000457763672,147822800
2016-03-04,23.32975196838379,25.752500534057617,25.9375,25.342500686645508,25.592500686645508,184220400
2016-03-07,23.071565628051758,25.467500686645508,25.707500457763672,25.239999771118164,25.59749984741211,143315600
2016-03-08,22.881317138671875,25.25749969482422,25.440000534057617,25.100000381469727,25.19499969482422,126247600
2016-03-09,22.901708602905273,25.280000686645508,25.395000457763672,25.0674991607666,25.327499389648438,108806800
2016-03-10,22.913028717041016,25.292499542236328,25.559999465942383,25.037500381469727,25.352500915527344,134054400
2016-03-11,23.159894943237305,25.565000534057617,25.56999969482422,25.375,25.559999465942383,109632800
2016-03-14,23.21877670288086,25.6299991607666,25.727500915527344,25.44499969482422,25.477500915527344,100304400
2016-03-15,23.685325622558594,26.145000457763672,26.295000076293945,25.962499618530273,25.989999771118164,160270800
2016-03-16,24.00013542175293,26.49250030517578,26.577499389648438,26.147499084472656,26.15250015258789,153214000
2016-03-17,23.961633682250977,26.450000762939453,26.61750030517578,26.239999771118164,26.3799991607666,137682800
2016-03-18,23.988805770874023,26.479999542236328,26.625,26.297500610351562,26.584999084472656,176820800
2016-03-21,23.98655128479004,26.477500915527344,26.912500381469727,26.28499984741211,26.482500076293945,142010800
2016-03-22,24.169998168945312,26.68000030517578,26.822500228881836,26.302499771118164,26.3125,129777600
2016-03-23,24.036373138427734,26.532499313354492,26.767499923706055,26.475000381469727,26.6200008392334,102814000
2016-03-24,23.932188034057617,26.417499542236328,26.5625,26.22249984741211,26.36750030517578,104532000
2016-03-28,23.823482513427734,26.297500610351562,26.547500610351562,26.264999389648438,26.5,77645600
2016-03-29,24.387414932250977,26.920000076293945,26.947500228881836,26.219999313354492,26.22249984741211,124760400
2016-03-30,24.813196182250977,27.389999389648438,27.604999542236328,27.149999618530273,27.162500381469727,182404400
2016-03-31,24.684106826782227,27.247499465942383,27.475000381469727,27.219999313354492,27.43000030517578,103553600
2016-04-01,24.91058349609375,27.497499465942383,27.5,27.049999237060547,27.19499969482422,103496000
2016-04-04,25.16651153564453,27.780000686645508,28.047500610351562,27.5674991607666,27.604999542236328,149424800
2016-04-05,24.869815826416016,27.452499389648438,27.6825008392334,27.354999542236328,27.377500534057617,106314800
2016-04-06,25.130266189575195,27.739999771118164,27.7450008392334,27.299999237060547,27.5575008392334,105616400
2016-04-07,24.58218765258789,27.135000228881836,27.604999542236328,27.030000686645508,27.487499237060547,127207600
2016-04-08,24.60936737060547,27.165000915527344,27.4424991607666,27.042499542236328,27.227500915527344,94326800
2016-04-11,24.690902709960938,27.2549991607666,27.65250015258789,27.207500457763672,27.24250030517578,117630000
2016-04-12,25.012500762939453,27.610000610351562,27.625,27.165000915527344,27.334999084472656,108929200
2016-04-13,25.3748779296875,28.010000228881836,28.084999084472656,27.700000762939453,27.700000762939453,133029200
2016-04-14,25.388458251953125,28.024999618530273,28.09749984741211,27.832500457763672,27.905000686645508,101895600
2016-04-15,24.878873825073242,27.462499618530273,28.075000762939453,27.4325008392334,28.02750015258789,187756000
2016-04-18,24.34212303161621,26.8700008392334,27.237499237060547,26.735000610351562,27.22249984741211,243286000
2016-04-19,24.213027954101562,26.727500915527344,27.0,26.5575008392334,26.969999313354492,129539600
2016-04-20,24.26285743713379,26.782499313354492,27.022499084472656,26.514999389648438,26.65999984741211,122444000
2016-04-21,24.00013542175293,26.49250030517578,26.732500076293945,26.3799991607666,26.732500076293945,126210000
2016-04-22,23.934457778930664,26.420000076293945,26.6200008392334,26.155000686645508,26.252500534057617,134732400
2016-04-25,23.798566818237305,26.270000457763672,26.412500381469727,26.127500534057617,26.25,112126400
2016-04-26,23.633241653442383,26.087499618530273,26.325000762939453,25.977500915527344,25.977500915527344,224064800
2016-04-27,22.15431785583496,24.454999923706055,24.677499771118164,23.920000076293945,24.0,458408400
2016-04-28,21.477144241333008,23.707500457763672,24.469999313354492,23.5625,24.40250015258789,328970800
2016-04-29,21.23027801513672,23.434999465942383,23.68000030517578,23.127500534057617,23.497499465942383,274126000
2016-05-02,21.20763397216797,23.40999984741211,23.520000457763672,23.100000381469727,23.49250030517578,192640400
2016-05-03,21.556411743164062,23.795000076293945,23.934999465942383,23.420000076293945,23.549999237060547,227325200
2016-05-04,21.332197189331055,23.547500610351562,23.975000381469727,23.454999923706055,23.799999237060547,164102000
2016-05-05,21.245607376098633,23.309999465942383,23.517499923706055,23.170000076293945,23.5,143562000
2016-05-06,21.12712287902832,23.18000030517578,23.362499237060547,22.962499618530273,23.342500686645508,174799600
2016-05-09,21.14307403564453,23.197500228881836,23.4424991607666,23.147499084472656,23.25,131745600
2016-05-10,21.286619186401367,23.354999542236328,23.392499923706055,23.02750015258789,23.332500457763672,134747200
2016-05-11,21.07927703857422,23.127500534057617,23.392499923706055,23.114999771118164,23.3700008392334,114876400
2016-05-12,20.584814071655273,22.584999084472656,23.19499969482422,22.36750030517578,23.18000030517578,305258800
2016-05-13,20.62583351135254,22.6299991607666,22.917499542236328,22.5,22.5,177571200
2016-05-16,21.391441345214844,23.469999313354492,23.59749984741211,22.912500381469727,23.09749984741211,245039200
2016-05-17,21.30257225036621,23.372499465942383,23.674999237060547,23.252500534057617,23.637500762939453,187667600
2016-05-18,21.546382904052734,23.639999389648438,23.802499771118164,23.47249984741211,23.540000915527344,168249600
2016-05-19,21.46435546875,23.549999237060547,23.65999984741211,23.392499923706055,23.65999984741211,121768400
2016-05-20,21.696767807006836,23.80500030517578,23.857500076293945,23.6299991607666,23.65999984741211,128104000
2016-05-23,21.972482681274414,24.107500076293945,24.297500610351562,23.917499542236328,23.967500686645508,152074400
2016-05-24,22.307430267333984,24.475000381469727,24.522499084472656,24.209999084472656,24.30500030517578,140560800
2016-05-25,22.699356079101562,24.905000686645508,24.934999465942383,24.52750015258789,24.667499542236328,152675200
2016-05-26,22.879365921020508,25.102500915527344,25.1825008392334,24.65999984741211,24.920000076293945,225324800
2016-05-27,22.865684509277344,25.087499618530273,25.11750030517578,24.8125,24.860000610351562,145364800
2016-05-31,22.7540340423584,24.96500015258789,25.100000381469727,24.704999923706055,24.899999618530273,169228800
2016-06-01,22.435033798217773,24.614999771118164,24.885000228881836,24.582500457763672,24.7549991607666,116693200
2016-06-02,22.266420364379883,24.43000030517578,24.459999084472656,24.157499313354492,24.399999618530273,160766400
2016-06-03,22.311988830566406,24.479999542236328,24.5674991607666,24.362499237060547,24.447500228881836,114019600
2016-06-06,22.473764419555664,24.657499313354492,25.47249984741211,24.387500762939453,24.497499465942383,93170000
2016-06-07,22.564912796020508,24.75749969482422,24.967500686645508,24.739999771118164,24.8125,89638000
2016-06-08,22.544403076171875,24.735000610351562,24.889999389648438,24.670000076293945,24.7549991607666,83392400
2016-06-09,22.706188201904297,24.912500381469727,24.997499465942383,24.614999771118164,24.625,106405600
2016-06-10,22.51934242248535,24.707500457763672,24.837499618530273,24.6200008392334,24.63249969482422,126851600
2016-06-13,22.179832458496094,24.334999084472656,24.780000686645508,24.274999618530273,24.672500610351562,152082000
2016-06-14,22.20717430114746,24.364999771118164,24.6200008392334,24.1875,24.329999923706055,127727600
2016-06-15,22.13426399230957,24.28499984741211,24.602500915527344,24.25749969482422,24.454999923706055,117780800
2016-06-16,22.22768211364746,24.387500762939453,24.4375,24.017499923706055,24.112499237060547,125307200
2016-06-17,21.721832275390625,23.832500457763672,24.162500381469727,23.825000762939453,24.155000686645508,244032800
2016-06-20,21.6694278717041,23.774999618530273,24.142499923706055,23.75749969482422,24.0,137647600
2016-06-21,21.85399055480957,23.977500915527344,24.087499618530273,23.670000076293945,23.735000610351562,142185600
2016-06-22,21.771961212158203,23.887500762939453,24.22249984741211,23.837499618530273,24.0625,116876400
2016-06-23,21.89728546142578,24.024999618530273,24.072500228881836,23.8125,23.985000610351562,128960800
2016-06-24,21.28206443786621,23.350000381469727,23.665000915527344,23.162500381469727,23.227500915527344,301245600
2016-06-27,20.97218132019043,23.010000228881836,23.262500762939453,22.875,23.25,181958400
2016-06-28,21.325361251831055,23.397499084472656,23.415000915527344,23.03499984741211,23.225000381469727,161779600
2016-06-29,21.509920120239258,23.600000381469727,23.637500762939453,23.407499313354492,23.49250030517578,146124000
2016-06-30,21.783361434936523,23.899999618530273,23.9424991607666,23.575000762939453,23.610000610351562,143345600
2016-07-01,21.84943389892578,23.97249984741211,24.11750030517578,23.832500457763672,23.872499465942383,104106000
2016-07-05,21.644357681274414,23.747499465942383,23.850000381469727,23.614999771118164,23.84749984741211,110820800
2016-07-06,21.76740837097168,23.88249969482422,23.915000915527344,23.592500686645508,23.649999618530273,123796400
2016-07-07,21.86082649230957,23.985000610351562,24.125,23.905000686645508,23.924999237060547,100558400
2016-07-08,22.029443740844727,24.170000076293945,24.22249984741211,24.012500762939453,24.122499465942383,115648400
2016-07-11,22.097803115844727,24.2450008392334,24.412500381469727,24.1825008392334,24.1875,95179600
2016-07-12,22.198062896728516,24.354999542236328,24.424999237060547,24.280000686645508,24.292499542236328,96670000
2016-07-13,22.072736740112305,24.217500686645508,24.417499542236328,24.209999084472656,24.352500915527344,103568800
2016-07-14,22.51022720336914,24.697500228881836,24.747499465942383,24.329999923706055,24.34749984741211,155676000
2016-07-15,22.507953643798828,24.69499969482422,24.825000762939453,24.625,24.729999542236328,120548000
2016-07-18,22.747203826904297,24.957500457763672,25.032499313354492,24.649999618530273,24.674999237060547,145975600
2016-07-19,22.756317138671875,24.967500686645508,25.0,24.834999084472656,24.889999389648438,95119600
2016-07-20,22.776824951171875,24.989999771118164,25.114999771118164,24.934999465942383,25.0,105104000
2016-07-21,22.656055450439453,24.857500076293945,25.25,24.782499313354492,24.957500457763672,130808000
2016-07-22,22.480609893798828,24.665000915527344,24.825000762939453,24.577499389648438,24.815000534057617,113254800
2016-07-25,22.179832458496094,24.334999084472656,24.709999084472656,24.229999542236328,24.5625,161531600
2016-07-26,22.027164459228516,24.167499542236328,24.49250030517578,24.104999542236328,24.204999923706055,224959200
2016-07-27,23.458118438720703,25.737499237060547,26.087499618530273,25.6875,26.0674991607666,369379200
2016-07-28,23.77484703063965,26.084999084472656,26.112499237060547,25.704999923706055,25.707500457763672,159479200
2016-07-29,23.745223999023438,26.052499771118164,26.137500762939453,25.920000076293945,26.047500610351562,110934800
2016-08-01,24.16448402404785,26.512500762939453,26.537500381469727,26.102500915527344,26.102500915527344,152671600
2016-08-02,23.80674934387207,26.1200008392334,26.517499923706055,26.0,26.512500762939453,135266400
2016-08-03,24.105247497558594,26.447500228881836,26.459999084472656,26.1924991607666,26.202499389648438,120810400
2016-08-04,24.254154205322266,26.467500686645508,26.5,26.31999969482422,26.395000457763672,109634800
2016-08-05,24.622995376586914,26.8700008392334,26.912500381469727,26.545000076293945,26.5674991607666,162213600
2016-08-08,24.82689094543457,27.092500686645508,27.092500686645508,26.790000915527344,26.8799991607666,112148800
2016-08-09,24.927692413330078,27.202499389648438,27.235000610351562,27.002500534057617,27.0575008392334,105260800
2016-08-10,24.742122650146484,27.0,27.225000381469727,26.940000534057617,27.177499771118164,96034000
2016-08-11,24.726085662841797,26.982500076293945,27.232500076293945,26.962499618530273,27.1299991607666,109938000
2016-08-12,24.78335189819336,27.045000076293945,27.110000610351562,26.94499969482422,26.94499969482422,74641600
